field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Alternating_Single_Arm_Kettlebell_Start_Stop_Clean_to_Push_Press,,accepted,
exercise_name,Alternating Single Arm Kettlebell Start Stop Clean to Push Press,,accepted,
movement_patterns,"HipHinge, VerticalPush",,accepted,
primary_joint_actions,"HipExtension, ShoulderFlexion, ElbowExtension",,accepted,
supporting_joint_actions,"KneeExtension, ScapularUpwardRotation, ElbowFlexion, Plantarflexion",,accepted,
training_modalities,Power,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Ballistics,,accepted,
laterality,Unilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,TRUE,,accepted,
muscle_involvement_01_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,GluteusMaximus,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,LateralDeltoid,,accepted,
muscle_involvement_03_involvementdegree,PrimeMover,,accepted,
muscle_involvement_04_muscle,BicepsFemoris,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,Iliopsoas,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,RectusFemoris,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,Semimembranosus,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,Semitendinosus,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,TricepsLateralHead,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,TricepsLongHead,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,TricepsMedialHead,,accepted,
muscle_involvement_11_involvementdegree,Synergist,,accepted,
muscle_involvement_12_muscle,UpperTrapezius,,accepted,
muscle_involvement_12_involvementdegree,Synergist,,accepted,
muscle_involvement_13_muscle,VastusIntermedius,,accepted,
muscle_involvement_13_involvementdegree,Synergist,,accepted,
muscle_involvement_14_muscle,VastusLateralis,,accepted,
muscle_involvement_14_involvementdegree,Synergist,,accepted,
muscle_involvement_15_muscle,VastusMedialis,,accepted,
muscle_involvement_15_involvementdegree,Synergist,,accepted,
muscle_involvement_16_muscle,Brachialis,,accepted,
muscle_involvement_16_involvementdegree,Stabilizer,,accepted,
muscle_involvement_17_muscle,Core,,accepted,
muscle_involvement_17_involvementdegree,Stabilizer,,accepted,
muscle_involvement_18_muscle,ErectorSpinae,,accepted,
muscle_involvement_18_involvementdegree,Stabilizer,,accepted,
muscle_involvement_19_muscle,GluteusMedius,,accepted,
muscle_involvement_19_involvementdegree,Stabilizer,,accepted,
muscle_involvement_20_muscle,RotatorCuff,,accepted,
muscle_involvement_20_involvementdegree,Stabilizer,,accepted,
muscle_involvement_21_muscle,WristFlexors,,accepted,
muscle_involvement_21_involvementdegree,Stabilizer,,accepted,
muscle_involvement_22_muscle,,,accepted,
muscle_involvement_22_involvementdegree,,,accepted,
muscle_involvement_23_muscle,,,accepted,
muscle_involvement_23_involvementdegree,,,accepted,
muscle_involvement_24_muscle,,,accepted,
muscle_involvement_24_involvementdegree,,,accepted,
muscle_involvement_25_muscle,,,accepted,
muscle_involvement_25_involvementdegree,,,accepted,
