field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Bar_Archer_Pull_Up,,accepted,
exercise_name,Bar Archer Pull Up,,accepted,
movement_patterns,VerticalPull,,accepted,
primary_joint_actions,"ShoulderAdduction, ElbowFlexion",,accepted,
supporting_joint_actions,"ScapularRetraction, ScapularDepression, ShoulderHorizontalAbduction",,accepted,
training_modalities,,,accepted,
plane_of_motion,FrontalPlane,,accepted,
exercise_style,Calisthenics,,accepted,
laterality,Unilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,LatissimusDorsi,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,AdductorBrevis,,accepted,
muscle_involvement_02_involvementdegree,Synergist,,accepted,
muscle_involvement_03_muscle,AdductorLongus,,accepted,
muscle_involvement_03_involvementdegree,Synergist,,accepted,
muscle_involvement_04_muscle,AdductorMagnus,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,BicepsBrachii,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,Brachialis,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,Brachioradialis,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,LowerTrapezius,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,MiddleTrapezius,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,PosteriorDeltoid,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,Rhomboids,,accepted,
muscle_involvement_11_involvementdegree,Synergist,,accepted,
muscle_involvement_12_muscle,TeresMajor,,accepted,
muscle_involvement_12_involvementdegree,Synergist,,accepted,
muscle_involvement_13_muscle,Core,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,RotatorCuff,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,WristFlexors,,accepted,
muscle_involvement_15_involvementdegree,Stabilizer,,accepted,
muscle_involvement_16_muscle,,,accepted,
muscle_involvement_16_involvementdegree,,,accepted,
muscle_involvement_17_muscle,,,accepted,
muscle_involvement_17_involvementdegree,,,accepted,
muscle_involvement_18_muscle,,,accepted,
muscle_involvement_18_involvementdegree,,,accepted,
muscle_involvement_19_muscle,,,accepted,
muscle_involvement_19_involvementdegree,,,accepted,
