field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Bar_Eccentric_Pull_Up,,accepted,
exercise_name,Bar Eccentric Pull Up,,accepted,
movement_patterns,VerticalPull,,accepted,
primary_joint_actions,"ShoulderAdduction, ShoulderExtension, ElbowFlexion",,accepted,
supporting_joint_actions,"ScapularDepression, ScapularRetraction",,accepted,
training_modalities,,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Calisthenics,,accepted,
laterality,Bilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,LatissimusDorsi,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,BicepsBrachii,,accepted,
muscle_involvement_02_involvementdegree,Synergist,,accepted,
muscle_involvement_03_muscle,Brachialis,,accepted,
muscle_involvement_03_involvementdegree,Synergist,,accepted,
muscle_involvement_04_muscle,Brachioradialis,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,LowerTrapezius,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,MiddleTrapezius,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,PosteriorDeltoid,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,Rhomboids,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,TeresMajor,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,Core,,accepted,
muscle_involvement_10_involvementdegree,Stabilizer,,accepted,
muscle_involvement_11_muscle,RotatorCuff,,accepted,
muscle_involvement_11_involvementdegree,Stabilizer,,accepted,
muscle_involvement_12_muscle,WristFlexors,,accepted,
muscle_involvement_12_involvementdegree,Stabilizer,,accepted,
muscle_involvement_13_muscle,,,accepted,
muscle_involvement_13_involvementdegree,,,accepted,
muscle_involvement_14_muscle,,,accepted,
muscle_involvement_14_involvementdegree,,,accepted,
muscle_involvement_15_muscle,,,accepted,
muscle_involvement_15_involvementdegree,,,accepted,
muscle_involvement_16_muscle,,,accepted,
muscle_involvement_16_involvementdegree,,,accepted,
