field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Barbell_Back_Rack_Carry,,accepted,
exercise_name,Barbell Back Rack Carry,,accepted,
movement_patterns,Carry,,accepted,
primary_joint_actions,SpinalStability,SpinalStability,modified,Carries involve isometric resistance; primary action is SpinalStability per Anti-movement rule.
supporting_joint_actions,"HipExtension, KneeExtension",,accepted,
training_modalities,,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,,,accepted,
laterality,Bilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,ErectorSpinae,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,RectusAbdominis,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,TransverseAbdominis,,accepted,
muscle_involvement_03_involvementdegree,PrimeMover,,accepted,
muscle_involvement_04_muscle,GluteusMaximus,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,GluteusMedius,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,Obliques,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,QuadratusLumborum,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,RectusFemoris,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,UpperTrapezius,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,VastusIntermedius,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,VastusLateralis,,accepted,
muscle_involvement_11_involvementdegree,Synergist,,accepted,
muscle_involvement_12_muscle,VastusMedialis,,accepted,
muscle_involvement_12_involvementdegree,Synergist,,accepted,
muscle_involvement_13_muscle,Core,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,Gastrocnemius,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,RotatorCuff,,accepted,
muscle_involvement_15_involvementdegree,Stabilizer,,accepted,
muscle_involvement_16_muscle,Soleus,,accepted,
muscle_involvement_16_involvementdegree,Stabilizer,,accepted,
muscle_involvement_17_muscle,,,accepted,
muscle_involvement_17_involvementdegree,,,accepted,
muscle_involvement_18_muscle,,,accepted,
muscle_involvement_18_involvementdegree,,,accepted,
muscle_involvement_19_muscle,,,accepted,
muscle_involvement_19_involvementdegree,,,accepted,
muscle_involvement_20_muscle,,,accepted,
muscle_involvement_20_involvementdegree,,,accepted,
