field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,front_rack_alternating_step_up,,accepted,
exercise_name,Barbell Front Rack Alternating Step Up,,accepted,
movement_patterns,KneeDominant,,accepted,
primary_joint_actions,"KneeExtension, HipExtension",,accepted,
supporting_joint_actions,"Dorsiflexion, SpinalStability",,accepted,
training_modalities,,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Bodybuilding,,accepted,
laterality,Unilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,RectusFemoris,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,VastusIntermedius,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,VastusLateralis,,accepted,
muscle_involvement_03_involvementdegree,PrimeMover,,accepted,
muscle_involvement_04_muscle,VastusMedialis,,accepted,
muscle_involvement_04_involvementdegree,PrimeMover,,accepted,
muscle_involvement_05_muscle,GluteusMaximus,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,Semimembranosus,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,Semitendinosus,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,BicepsFemoris,,accepted,
muscle_involvement_08_involvementdegree,Stabilizer,,accepted,
muscle_involvement_09_muscle,Core,,accepted,
muscle_involvement_09_involvementdegree,Stabilizer,,accepted,
muscle_involvement_10_muscle,ErectorSpinae,,accepted,
muscle_involvement_10_involvementdegree,Stabilizer,,accepted,
muscle_involvement_11_muscle,Gastrocnemius,,accepted,
muscle_involvement_11_involvementdegree,Stabilizer,,accepted,
muscle_involvement_12_muscle,GluteusMedius,,accepted,
muscle_involvement_12_involvementdegree,Stabilizer,,accepted,
muscle_involvement_13_muscle,GluteusMinimus,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,Soleus,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,TensorFasciaeLatae,,accepted,
muscle_involvement_15_involvementdegree,Stabilizer,,accepted,
muscle_involvement_16_muscle,,,accepted,
muscle_involvement_16_involvementdegree,,,accepted,
muscle_involvement_17_muscle,,,accepted,
muscle_involvement_17_involvementdegree,,,accepted,
muscle_involvement_18_muscle,,,accepted,
muscle_involvement_18_involvementdegree,,,accepted,
muscle_involvement_19_muscle,,,accepted,
muscle_involvement_19_involvementdegree,,,accepted,
