field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Barbell_Seated_Cuban_Rotation,,accepted,
exercise_name,Barbell Seated Cuban Rotation,,accepted,
movement_patterns,,,accepted,
primary_joint_actions,ShoulderExternalRotation,,accepted,
supporting_joint_actions,,,accepted,
training_modalities,,,accepted,
plane_of_motion,TransversePlane,,accepted,
exercise_style,,,accepted,
laterality,Bilateral,,accepted,
is_compound,FALSE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,PosteriorDeltoid,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,RotatorCuff,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,,,accepted,
muscle_involvement_03_involvementdegree,,,accepted,
muscle_involvement_04_muscle,,,accepted,
muscle_involvement_04_involvementdegree,,,accepted,
muscle_involvement_05_muscle,,,accepted,
muscle_involvement_05_involvementdegree,,,accepted,
muscle_involvement_06_muscle,,,accepted,
muscle_involvement_06_involvementdegree,,,accepted,
