field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Battle_Rope_Low_Switch_Cossack_Squat_Alternating_Wave,,accepted,
exercise_name,Battle Rope Low Switch Cossack Squat Alternating Wave,,accepted,
movement_patterns,KneeDominant,,accepted,
primary_joint_actions,"KneeExtension, HipExtension, HipAbduction",,accepted,
supporting_joint_actions,"HipAdduction, ShoulderFlexion, ShoulderExtension, ElbowFlexion",,accepted,
training_modalities,Cardio,,accepted,
plane_of_motion,FrontalPlane,,accepted,
exercise_style,,,accepted,
laterality,Unilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,GluteusMaximus,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,RectusFemoris,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,VastusIntermedius,,accepted,
muscle_involvement_03_involvementdegree,PrimeMover,,accepted,
muscle_involvement_04_muscle,VastusLateralis,,accepted,
muscle_involvement_04_involvementdegree,PrimeMover,,accepted,
muscle_involvement_05_muscle,VastusMedialis,,accepted,
muscle_involvement_05_involvementdegree,PrimeMover,,accepted,
muscle_involvement_06_muscle,AdductorBrevis,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,AdductorLongus,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,AdductorMagnus,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,GluteusMedius,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,LateralDeltoid,,accepted,
muscle_involvement_11_involvementdegree,Synergist,,accepted,
muscle_involvement_12_muscle,PosteriorDeltoid,,accepted,
muscle_involvement_12_involvementdegree,Synergist,,accepted,
muscle_involvement_13_muscle,BicepsBrachii,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,Core,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,ErectorSpinae,,accepted,
muscle_involvement_15_involvementdegree,Stabilizer,,accepted,
muscle_involvement_16_muscle,TricepsLateralHead,,accepted,
muscle_involvement_16_involvementdegree,Stabilizer,,accepted,
muscle_involvement_17_muscle,TricepsLongHead,,accepted,
muscle_involvement_17_involvementdegree,Stabilizer,,accepted,
muscle_involvement_18_muscle,TricepsMedialHead,,accepted,
muscle_involvement_18_involvementdegree,Stabilizer,,accepted,
muscle_involvement_19_muscle,WristExtensors,,accepted,
muscle_involvement_19_involvementdegree,Stabilizer,,accepted,
muscle_involvement_20_muscle,WristFlexors,,accepted,
muscle_involvement_20_involvementdegree,Stabilizer,,accepted,
muscle_involvement_21_muscle,,,accepted,
muscle_involvement_21_involvementdegree,,,accepted,
muscle_involvement_22_muscle,,,accepted,
muscle_involvement_22_involvementdegree,,,accepted,
muscle_involvement_23_muscle,,,accepted,
muscle_involvement_23_involvementdegree,,,accepted,
muscle_involvement_24_muscle,,,accepted,
muscle_involvement_24_involvementdegree,,,accepted,
