field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Climbing_Rope_Hanging_L_Sit_Flutter_Kicks,,accepted,
exercise_name,Climbing Rope Hanging L Sit Flutter Kicks,,accepted,
movement_patterns,IsometricHold,"IsometricHold, CoreFlexion",modified,Flutter kicks add a dynamic CoreFlexion component to the isometric hang.
primary_joint_actions,"HipFlexion, SpinalStability",,accepted,
supporting_joint_actions,"KneeExtension, ScapularDepression, ElbowFlexion",,accepted,
training_modalities,,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Calisthenics,,accepted,
laterality,Unilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,Iliopsoas,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,RectusAbdominis,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,RectusFemoris,Core,modified,Added Core as Stabilizer per ontology recommendation for incidental bracing.
muscle_involvement_03_involvementdegree,PrimeMover,Stabilizer,modified,Added Core as Stabilizer per ontology recommendation for incidental bracing.
muscle_involvement_04_muscle,Obliques,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,Sartorius,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,TensorFasciaeLatae,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,TransverseAbdominis,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,VastusIntermedius,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,VastusLateralis,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,VastusMedialis,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,BicepsBrachii,,accepted,
muscle_involvement_11_involvementdegree,Stabilizer,,accepted,
muscle_involvement_12_muscle,Brachialis,,accepted,
muscle_involvement_12_involvementdegree,Stabilizer,,accepted,
muscle_involvement_13_muscle,Core,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,GluteusMedius,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,LatissimusDorsi,,accepted,
muscle_involvement_15_involvementdegree,Stabilizer,,accepted,
muscle_involvement_16_muscle,LowerTrapezius,,accepted,
muscle_involvement_16_involvementdegree,Stabilizer,,accepted,
muscle_involvement_17_muscle,RotatorCuff,,accepted,
muscle_involvement_17_involvementdegree,Stabilizer,,accepted,
muscle_involvement_18_muscle,WristFlexors,,accepted,
muscle_involvement_18_involvementdegree,Stabilizer,,accepted,
muscle_involvement_19_muscle,,,accepted,
muscle_involvement_19_involvementdegree,,,accepted,
muscle_involvement_20_muscle,,,accepted,
muscle_involvement_20_involvementdegree,,,accepted,
muscle_involvement_21_muscle,,,accepted,
muscle_involvement_21_involvementdegree,,,accepted,
muscle_involvement_22_muscle,,,accepted,
muscle_involvement_22_involvementdegree,,,accepted,
