field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Clubbell_Order_Curtsy_Lunge,,accepted,
exercise_name,Clubbell Order Curtsy Lunge,,accepted,
movement_patterns,KneeDominant,,accepted,
primary_joint_actions,"KneeExtension, HipExtension",,accepted,
supporting_joint_actions,"HipAdduction, HipInternalRotation, SpinalStability",,accepted,
training_modalities,,,accepted,
plane_of_motion,FrontalPlane,,accepted,
exercise_style,Bodybuilding,,modified,Bodybuilding is too generic for a clubbell movement; no specific style in TTL fits better than none.
laterality,Unilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,RectusFemoris,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,VastusIntermedius,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,VastusLateralis,GluteusMedius,modified,Curtsy lunge targets the gluteus medius due to the crossing-over/adduction demand.
muscle_involvement_03_involvementdegree,PrimeMover,PrimeMover,modified,Curtsy lunge targets the gluteus medius due to the crossing-over/adduction demand.
muscle_involvement_04_muscle,VastusMedialis,,accepted,
muscle_involvement_04_involvementdegree,PrimeMover,,accepted,
muscle_involvement_05_muscle,AdductorBrevis,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,AdductorLongus,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,BicepsFemoris,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,GluteusMaximus,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,GluteusMedius,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,Semimembranosus,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,Semitendinosus,,accepted,
muscle_involvement_11_involvementdegree,Synergist,,accepted,
muscle_involvement_12_muscle,AdductorMagnus,,accepted,
muscle_involvement_12_involvementdegree,Stabilizer,,accepted,
muscle_involvement_13_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,Core,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,ErectorSpinae,,accepted,
muscle_involvement_15_involvementdegree,Stabilizer,,accepted,
muscle_involvement_16_muscle,RotatorCuff,,accepted,
muscle_involvement_16_involvementdegree,Stabilizer,,accepted,
muscle_involvement_17_muscle,TensorFasciaeLatae,,accepted,
muscle_involvement_17_involvementdegree,Stabilizer,,accepted,
muscle_involvement_18_muscle,,,accepted,
muscle_involvement_18_involvementdegree,,,accepted,
muscle_involvement_19_muscle,,,accepted,
muscle_involvement_19_involvementdegree,,,accepted,
muscle_involvement_20_muscle,,,accepted,
muscle_involvement_20_involvementdegree,,,accepted,
muscle_involvement_21_muscle,,,accepted,
muscle_involvement_21_involvementdegree,,,accepted,
