field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,fed_Dips___Triceps_Version,,accepted,
exercise_name,Dips - Triceps Version,,accepted,
movement_patterns,VerticalPush,,accepted,
primary_joint_actions,"ElbowExtension, ShoulderExtension","ElbowExtension, ShoulderFlexion",modified,The concentric phase involves shoulder flexion from an extended position.
supporting_joint_actions,ScapularDepression,,accepted,
training_modalities,,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Calisthenics,,accepted,
laterality,Bilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,TricepsLateralHead,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,TricepsLongHead,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,TricepsMedialHead,TricepsMedialHead,modified,"Triceps rule: always include all three heads (Long, Lateral, Medial)."
muscle_involvement_03_involvementdegree,PrimeMover,PrimeMover,modified,"Triceps rule: always include all three heads (Long, Lateral, Medial)."
muscle_involvement_04_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,ClavicularHead,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,SternalHead,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,Core,,accepted,
muscle_involvement_07_involvementdegree,Stabilizer,,accepted,
muscle_involvement_08_muscle,LowerTrapezius,,accepted,
muscle_involvement_08_involvementdegree,Stabilizer,,accepted,
muscle_involvement_09_muscle,PectoralisMinor,,accepted,
muscle_involvement_09_involvementdegree,Stabilizer,,accepted,
muscle_involvement_10_muscle,RotatorCuff,,accepted,
muscle_involvement_10_involvementdegree,Stabilizer,,accepted,
muscle_involvement_11_muscle,,,accepted,
muscle_involvement_11_involvementdegree,,,accepted,
muscle_involvement_12_muscle,,,accepted,
muscle_involvement_12_involvementdegree,,,accepted,
muscle_involvement_13_muscle,,,accepted,
muscle_involvement_13_involvementdegree,,,accepted,
muscle_involvement_14_muscle,,,accepted,
muscle_involvement_14_involvementdegree,,,accepted,
