field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,double_incline_bench_chest_fly,,accepted,
exercise_name,Double Cable Incline Bench Chest Fly,,accepted,
movement_patterns,,,accepted,
primary_joint_actions,ShoulderHorizontalAdduction,,accepted,
supporting_joint_actions,ScapularProtraction,"ScapularProtraction, ElbowFlexion",modified,Slight elbow flexion is maintained to protect the joint; protraction occurs as cables are brought together.
training_modalities,Hypertrophy,,accepted,
plane_of_motion,TransversePlane,,accepted,
exercise_style,Bodybuilding,,accepted,
laterality,Bilateral,,accepted,
is_compound,FALSE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,ClavicularHead,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,SternalHead,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_03_involvementdegree,Synergist,,accepted,
muscle_involvement_04_muscle,BicepsBrachii,,accepted,
muscle_involvement_04_involvementdegree,Stabilizer,,accepted,
muscle_involvement_05_muscle,RotatorCuff,,accepted,
muscle_involvement_05_involvementdegree,Stabilizer,,accepted,
muscle_involvement_06_muscle,SerratusAnterior,,accepted,
muscle_involvement_06_involvementdegree,Stabilizer,,accepted,
muscle_involvement_07_muscle,,,accepted,
muscle_involvement_07_involvementdegree,,,accepted,
muscle_involvement_08_muscle,,,accepted,
muscle_involvement_08_involvementdegree,,,accepted,
muscle_involvement_09_muscle,,,accepted,
muscle_involvement_09_involvementdegree,,,accepted,
muscle_involvement_10_muscle,,,accepted,
muscle_involvement_10_involvementdegree,,,accepted,
