field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,double_front_rack_foot_elevated_cossack_squat,,accepted,
exercise_name,Double Dumbbell Front Rack Foot Elevated Cossack Squat,,accepted,
movement_patterns,KneeDominant,,accepted,
primary_joint_actions,"KneeExtension, HipExtension",,accepted,
supporting_joint_actions,"HipAdduction, HipAbduction, Dorsiflexion, SpinalStability",,accepted,
training_modalities,,,accepted,
plane_of_motion,FrontalPlane,,accepted,
exercise_style,Bodybuilding,,accepted,
laterality,Unilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,RectusFemoris,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,VastusIntermedius,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,VastusLateralis,Adductors,modified,Cossack squats heavily involve the adductors as prime movers during the descent and ascent.
muscle_involvement_03_involvementdegree,PrimeMover,PrimeMover,modified,Cossack squats heavily involve the adductors as prime movers during the descent and ascent.
muscle_involvement_04_muscle,VastusMedialis,Core,modified,Added Core as Stabilizer for the front rack position.
muscle_involvement_04_involvementdegree,PrimeMover,Stabilizer,modified,Added Core as Stabilizer for the front rack position.
muscle_involvement_05_muscle,AdductorBrevis,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,AdductorLongus,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,AdductorMagnus,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,BicepsFemoris,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,Gracilis,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,Semimembranosus,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,Semitendinosus,,accepted,
muscle_involvement_11_involvementdegree,Synergist,,accepted,
muscle_involvement_12_muscle,Core,,accepted,
muscle_involvement_12_involvementdegree,Stabilizer,,accepted,
muscle_involvement_13_muscle,ErectorSpinae,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,Gastrocnemius,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,GluteusMaximus,,accepted,
muscle_involvement_15_involvementdegree,Stabilizer,,accepted,
muscle_involvement_16_muscle,GluteusMedius,,accepted,
muscle_involvement_16_involvementdegree,Stabilizer,,accepted,
muscle_involvement_17_muscle,GluteusMinimus,,accepted,
muscle_involvement_17_involvementdegree,Stabilizer,,accepted,
muscle_involvement_18_muscle,TibialisAnterior,,accepted,
muscle_involvement_18_involvementdegree,Stabilizer,,accepted,
muscle_involvement_19_muscle,,,accepted,
muscle_involvement_19_involvementdegree,,,accepted,
muscle_involvement_20_muscle,,,accepted,
muscle_involvement_20_involvementdegree,,,accepted,
muscle_involvement_21_muscle,,,accepted,
muscle_involvement_21_involvementdegree,,,accepted,
muscle_involvement_22_muscle,,,accepted,
muscle_involvement_22_involvementdegree,,,accepted,
