field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,double_sots_press,,accepted,
exercise_name,Double Dumbbell Sots Press,,accepted,
movement_patterns,VerticalPush,,accepted,
primary_joint_actions,"ShoulderFlexion, ElbowExtension",,accepted,
supporting_joint_actions,ScapularUpwardRotation,,accepted,
training_modalities,,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Bodybuilding,,accepted,
laterality,Bilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,FALSE,,accepted,
muscle_involvement_01_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,LateralDeltoid,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,TricepsLateralHead,TricepsLongHead,modified,Added Triceps heads as prime movers for the vertical press.
muscle_involvement_03_involvementdegree,Synergist,PrimeMover,modified,Added Triceps heads as prime movers for the vertical press.
muscle_involvement_04_muscle,TricepsLongHead,TricepsLateralHead,modified,Added Triceps heads as prime movers for the vertical press.
muscle_involvement_04_involvementdegree,Synergist,PrimeMover,modified,Added Triceps heads as prime movers for the vertical press.
muscle_involvement_05_muscle,TricepsMedialHead,TricepsMedialHead,modified,Added Triceps heads as prime movers for the vertical press.
muscle_involvement_05_involvementdegree,Synergist,PrimeMover,modified,Added Triceps heads as prime movers for the vertical press.
muscle_involvement_06_muscle,UpperTrapezius,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,Core,,accepted,
muscle_involvement_07_involvementdegree,Stabilizer,,accepted,
muscle_involvement_08_muscle,ErectorSpinae,,accepted,
muscle_involvement_08_involvementdegree,Stabilizer,,accepted,
muscle_involvement_09_muscle,GluteusMaximus,,accepted,
muscle_involvement_09_involvementdegree,Stabilizer,,accepted,
muscle_involvement_10_muscle,RectusFemoris,,accepted,
muscle_involvement_10_involvementdegree,Stabilizer,,accepted,
muscle_involvement_11_muscle,RotatorCuff,,accepted,
muscle_involvement_11_involvementdegree,Stabilizer,,accepted,
muscle_involvement_12_muscle,VastusIntermedius,,accepted,
muscle_involvement_12_involvementdegree,Stabilizer,,accepted,
muscle_involvement_13_muscle,VastusLateralis,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,VastusMedialis,,accepted,
muscle_involvement_14_involvementdegree,Stabilizer,,accepted,
muscle_involvement_15_muscle,,,accepted,
muscle_involvement_15_involvementdegree,,,accepted,
muscle_involvement_16_muscle,,,accepted,
muscle_involvement_16_involvementdegree,,,accepted,
muscle_involvement_17_muscle,,,accepted,
muscle_involvement_17_involvementdegree,,,accepted,
muscle_involvement_18_muscle,,,accepted,
muscle_involvement_18_involvementdegree,,,accepted,
