field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Double_Kettlebell_Start_Stop_Clean_to_Thruster,,accepted,
exercise_name,Double Kettlebell Start Stop Clean to Thruster,,accepted,
movement_patterns,"HipHinge, VerticalPush, KneeDominant",,accepted,
primary_joint_actions,"HipExtension, KneeExtension, ShoulderFlexion, ElbowExtension",,accepted,
supporting_joint_actions,"HipFlexion, ScapularUpwardRotation, ElbowFlexion",,accepted,
training_modalities,Power,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,"Ballistics, Grinds",,accepted,
laterality,Bilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,TRUE,,accepted,
muscle_involvement_01_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_01_involvementdegree,PrimeMover,,accepted,
muscle_involvement_02_muscle,GluteusMaximus,,accepted,
muscle_involvement_02_involvementdegree,PrimeMover,,accepted,
muscle_involvement_03_muscle,LateralDeltoid,TricepsLongHead,modified,Added triceps heads for the thruster (press) portion.
muscle_involvement_03_involvementdegree,PrimeMover,PrimeMover,modified,Added triceps heads for the thruster (press) portion.
muscle_involvement_04_muscle,RectusFemoris,TricepsLateralHead,modified,Added triceps heads for the thruster (press) portion.
muscle_involvement_04_involvementdegree,PrimeMover,PrimeMover,modified,Added triceps heads for the thruster (press) portion.
muscle_involvement_05_muscle,VastusIntermedius,TricepsMedialHead,modified,Added triceps heads for the thruster (press) portion.
muscle_involvement_05_involvementdegree,PrimeMover,PrimeMover,modified,Added triceps heads for the thruster (press) portion.
muscle_involvement_06_muscle,VastusLateralis,,accepted,
muscle_involvement_06_involvementdegree,PrimeMover,,accepted,
muscle_involvement_07_muscle,VastusMedialis,,accepted,
muscle_involvement_07_involvementdegree,PrimeMover,,accepted,
muscle_involvement_08_muscle,BicepsBrachii,,accepted,
muscle_involvement_08_involvementdegree,Synergist,,accepted,
muscle_involvement_09_muscle,BicepsFemoris,,accepted,
muscle_involvement_09_involvementdegree,Synergist,,accepted,
muscle_involvement_10_muscle,Brachialis,,accepted,
muscle_involvement_10_involvementdegree,Synergist,,accepted,
muscle_involvement_11_muscle,LatissimusDorsi,,accepted,
muscle_involvement_11_involvementdegree,Synergist,,accepted,
muscle_involvement_12_muscle,Semimembranosus,,accepted,
muscle_involvement_12_involvementdegree,Synergist,,accepted,
muscle_involvement_13_muscle,Semitendinosus,,accepted,
muscle_involvement_13_involvementdegree,Synergist,,accepted,
muscle_involvement_14_muscle,TricepsLateralHead,,accepted,
muscle_involvement_14_involvementdegree,Synergist,,accepted,
muscle_involvement_15_muscle,TricepsLongHead,,accepted,
muscle_involvement_15_involvementdegree,Synergist,,accepted,
muscle_involvement_16_muscle,TricepsMedialHead,,accepted,
muscle_involvement_16_involvementdegree,Synergist,,accepted,
muscle_involvement_17_muscle,UpperTrapezius,,accepted,
muscle_involvement_17_involvementdegree,Synergist,,accepted,
muscle_involvement_18_muscle,Core,,accepted,
muscle_involvement_18_involvementdegree,Stabilizer,,accepted,
muscle_involvement_19_muscle,ErectorSpinae,,accepted,
muscle_involvement_19_involvementdegree,Stabilizer,,accepted,
muscle_involvement_20_muscle,GluteusMedius,,accepted,
muscle_involvement_20_involvementdegree,Stabilizer,,accepted,
muscle_involvement_21_muscle,RotatorCuff,,accepted,
muscle_involvement_21_involvementdegree,Stabilizer,,accepted,
muscle_involvement_22_muscle,WristFlexors,,accepted,
muscle_involvement_22_involvementdegree,Stabilizer,,accepted,
muscle_involvement_23_muscle,,,accepted,
muscle_involvement_23_involvementdegree,,,accepted,
muscle_involvement_24_muscle,,,accepted,
muscle_involvement_24_involvementdegree,,,accepted,
muscle_involvement_25_muscle,,,accepted,
muscle_involvement_25_involvementdegree,,,accepted,
muscle_involvement_26_muscle,,,accepted,
muscle_involvement_26_involvementdegree,,,accepted,
