field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,fed_Downward_Facing_Balance,,accepted,
exercise_name,Downward Facing Balance,,accepted,
movement_patterns,AntiExtension,,accepted,
primary_joint_actions,"SpinalStability, HipExtension",,accepted,
supporting_joint_actions,"KneeExtension, ElbowExtension",,accepted,
training_modalities,,"Mobility, Balance",modified,Downward facing balance is both a mobility and balance challenge.
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Balance,,accepted,
laterality,Bilateral,,accepted,
is_compound,TRUE,,accepted,
is_combination,,,accepted,
muscle_involvement_01_muscle,GluteusMaximus,Hamstrings,modified,The downward dog position targets the hamstrings as a passive target.
muscle_involvement_01_involvementdegree,PrimeMover,PassiveTarget,modified,The downward dog position targets the hamstrings as a passive target.
muscle_involvement_02_muscle,BicepsFemoris,,accepted,
muscle_involvement_02_involvementdegree,Synergist,,accepted,
muscle_involvement_03_muscle,RectusAbdominis,,accepted,
muscle_involvement_03_involvementdegree,Synergist,,accepted,
muscle_involvement_04_muscle,Semimembranosus,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,Semitendinosus,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,TransverseAbdominis,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,AnteriorDeltoid,,accepted,
muscle_involvement_07_involvementdegree,Stabilizer,,accepted,
muscle_involvement_08_muscle,Core,,accepted,
muscle_involvement_08_involvementdegree,Stabilizer,,accepted,
muscle_involvement_09_muscle,ErectorSpinae,,accepted,
muscle_involvement_09_involvementdegree,Stabilizer,,accepted,
muscle_involvement_10_muscle,GluteusMedius,,accepted,
muscle_involvement_10_involvementdegree,Stabilizer,,accepted,
muscle_involvement_11_muscle,TricepsLateralHead,,accepted,
muscle_involvement_11_involvementdegree,Stabilizer,,accepted,
muscle_involvement_12_muscle,TricepsLongHead,,accepted,
muscle_involvement_12_involvementdegree,Stabilizer,,accepted,
muscle_involvement_13_muscle,TricepsMedialHead,,accepted,
muscle_involvement_13_involvementdegree,Stabilizer,,accepted,
muscle_involvement_14_muscle,,,accepted,
muscle_involvement_14_involvementdegree,,,accepted,
muscle_involvement_15_muscle,,,accepted,
muscle_involvement_15_involvementdegree,,,accepted,
muscle_involvement_16_muscle,,,accepted,
muscle_involvement_16_involvementdegree,,,accepted,
muscle_involvement_17_muscle,,,accepted,
muscle_involvement_17_involvementdegree,,,accepted,
