field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,fed_Dumbbell_Seated_One_Leg_Calf_Raise,,accepted,
exercise_name,Dumbbell Seated One-Leg Calf Raise,,accepted,
movement_patterns,,,accepted,
primary_joint_actions,Plantarflexion,,accepted,
supporting_joint_actions,,,accepted,
training_modalities,,,accepted,
plane_of_motion,SagittalPlane,,accepted,
exercise_style,Bodybuilding,,accepted,
laterality,Unilateral,,accepted,
is_compound,FALSE,,accepted,
is_combination,,,accepted,
muscle_involvement_01_muscle,Gastrocnemius,Soleus,modified,"In a seated calf raise, the knees are bent, making the Soleus the primary driver."
muscle_involvement_01_involvementdegree,PrimeMover,PrimeMover,modified,"In a seated calf raise, the knees are bent, making the Soleus the primary driver."
muscle_involvement_02_muscle,Soleus,Gastrocnemius,modified,Gastrocnemius is in active insufficiency when the knee is bent; it acts as a synergist.
muscle_involvement_02_involvementdegree,PrimeMover,Synergist,modified,Gastrocnemius is in active insufficiency when the knee is bent; it acts as a synergist.
muscle_involvement_03_muscle,FlexorDigitorumLongus,,accepted,
muscle_involvement_03_involvementdegree,Synergist,,accepted,
muscle_involvement_04_muscle,FlexorHallucisLongus,,accepted,
muscle_involvement_04_involvementdegree,Synergist,,accepted,
muscle_involvement_05_muscle,PeroneusBrevis,,accepted,
muscle_involvement_05_involvementdegree,Synergist,,accepted,
muscle_involvement_06_muscle,PeroneusLongus,,accepted,
muscle_involvement_06_involvementdegree,Synergist,,accepted,
muscle_involvement_07_muscle,TibialisPosterior,,accepted,
muscle_involvement_07_involvementdegree,Synergist,,accepted,
muscle_involvement_08_muscle,,,accepted,
muscle_involvement_08_involvementdegree,,,accepted,
muscle_involvement_09_muscle,,,accepted,
muscle_involvement_09_involvementdegree,,,accepted,
muscle_involvement_10_muscle,,,accepted,
muscle_involvement_10_involvementdegree,,,accepted,
muscle_involvement_11_muscle,,,accepted,
muscle_involvement_11_involvementdegree,,,accepted,
