field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,single_arm_overhead_squat,,pending,
exercise_name,Single Arm Dumbbell Overhead Squat,,pending,representative random (seed=7)
movement_patterns,KneeDominant,,pending,
primary_joint_actions,"KneeExtension, HipExtension",,pending,
supporting_joint_actions,"ScapularUpwardRotation, SpinalStability, Dorsiflexion",,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,Bodybuilding,,pending,
laterality,Unilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,RectusFemoris,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,VastusIntermedius,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,VastusLateralis,,pending,
muscle_involvement_03_involvementdegree,PrimeMover,,pending,
muscle_involvement_04_muscle,VastusMedialis,,pending,
muscle_involvement_04_involvementdegree,PrimeMover,,pending,
muscle_involvement_05_muscle,BicepsFemoris,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,GluteusMaximus,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,Semimembranosus,,pending,
muscle_involvement_07_involvementdegree,Synergist,,pending,
muscle_involvement_08_muscle,Semitendinosus,,pending,
muscle_involvement_08_involvementdegree,Synergist,,pending,
muscle_involvement_09_muscle,AnteriorDeltoid,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,Core,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,ErectorSpinae,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,GluteusMedius,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,GluteusMinimus,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,LateralDeltoid,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,LowerTrapezius,,pending,
muscle_involvement_15_involvementdegree,Stabilizer,,pending,
muscle_involvement_16_muscle,Obliques,,pending,
muscle_involvement_16_involvementdegree,Stabilizer,,pending,
muscle_involvement_17_muscle,RotatorCuff,,pending,
muscle_involvement_17_involvementdegree,Stabilizer,,pending,
muscle_involvement_18_muscle,SerratusAnterior,,pending,
muscle_involvement_18_involvementdegree,Stabilizer,,pending,
muscle_involvement_19_muscle,TricepsLateralHead,,pending,
muscle_involvement_19_involvementdegree,Stabilizer,,pending,
muscle_involvement_20_muscle,TricepsLongHead,,pending,
muscle_involvement_20_involvementdegree,Stabilizer,,pending,
muscle_involvement_21_muscle,TricepsMedialHead,,pending,
muscle_involvement_21_involvementdegree,Stabilizer,,pending,
muscle_involvement_22_muscle,UpperTrapezius,,pending,
muscle_involvement_22_involvementdegree,Stabilizer,,pending,
muscle_involvement_23_muscle,,,pending,
muscle_involvement_23_involvementdegree,,,pending,
muscle_involvement_24_muscle,,,pending,
muscle_involvement_24_involvementdegree,,,pending,
muscle_involvement_25_muscle,,,pending,
muscle_involvement_25_involvementdegree,,,pending,
muscle_involvement_26_muscle,,,pending,
muscle_involvement_26_involvementdegree,,,pending,
