field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Single_Arm_Indian_Club_Inner_Heart_Shaped_Swing,,pending,
exercise_name,Single Arm Indian Club Inner Heart Shaped Swing,,pending,"coverage: modality:Mobility, plane:FrontalPlane, isolation"
movement_patterns,Mobility,,pending,
primary_joint_actions,ShoulderCircumduction,,pending,
supporting_joint_actions,"ScapularRetraction, ScapularProtraction",,pending,
training_modalities,Mobility,,pending,
plane_of_motion,FrontalPlane,,pending,
exercise_style,,,pending,
laterality,Unilateral,,pending,
is_compound,FALSE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,PosteriorDeltoid,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,AnteriorDeltoid,,pending,
muscle_involvement_02_involvementdegree,Synergist,,pending,
muscle_involvement_03_muscle,LateralDeltoid,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,MiddleTrapezius,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,Rhomboids,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,RotatorCuff,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,Core,,pending,
muscle_involvement_07_involvementdegree,Stabilizer,,pending,
muscle_involvement_08_muscle,SerratusAnterior,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,WristExtensors,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,WristFlexors,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,,,pending,
muscle_involvement_11_involvementdegree,,,pending,
muscle_involvement_12_muscle,,,pending,
muscle_involvement_12_involvementdegree,,,pending,
muscle_involvement_13_muscle,,,pending,
muscle_involvement_13_involvementdegree,,,pending,
muscle_involvement_14_muscle,,,pending,
muscle_involvement_14_involvementdegree,,,pending,
