field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Single_Arm_Kettlebell_Bottoms_Up_Overhead_Alternating_Reverse_Lunge,,pending,
exercise_name,Single Arm Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,,pending,representative random (seed=7)
movement_patterns,KneeDominant,,pending,
primary_joint_actions,"KneeExtension, HipExtension",,pending,
supporting_joint_actions,"HipFlexion, ScapularUpwardRotation, ElbowExtension",,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,Bodybuilding,,pending,
laterality,Unilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,RectusFemoris,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,VastusIntermedius,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,VastusLateralis,,pending,
muscle_involvement_03_involvementdegree,PrimeMover,,pending,
muscle_involvement_04_muscle,VastusMedialis,,pending,
muscle_involvement_04_involvementdegree,PrimeMover,,pending,
muscle_involvement_05_muscle,GluteusMaximus,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,Semimembranosus,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,Semitendinosus,,pending,
muscle_involvement_07_involvementdegree,Synergist,,pending,
muscle_involvement_08_muscle,AnteriorDeltoid,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,BicepsFemoris,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,Core,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,ErectorSpinae,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,Gastrocnemius,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,GluteusMedius,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,LateralDeltoid,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,RotatorCuff,,pending,
muscle_involvement_15_involvementdegree,Stabilizer,,pending,
muscle_involvement_16_muscle,TricepsLateralHead,,pending,
muscle_involvement_16_involvementdegree,Stabilizer,,pending,
muscle_involvement_17_muscle,TricepsLongHead,,pending,
muscle_involvement_17_involvementdegree,Stabilizer,,pending,
muscle_involvement_18_muscle,TricepsMedialHead,,pending,
muscle_involvement_18_involvementdegree,Stabilizer,,pending,
muscle_involvement_19_muscle,WristFlexors,,pending,
muscle_involvement_19_involvementdegree,Stabilizer,,pending,
muscle_involvement_20_muscle,,,pending,
muscle_involvement_20_involvementdegree,,,pending,
muscle_involvement_21_muscle,,,pending,
muscle_involvement_21_involvementdegree,,,pending,
muscle_involvement_22_muscle,,,pending,
muscle_involvement_22_involvementdegree,,,pending,
muscle_involvement_23_muscle,,,pending,
muscle_involvement_23_involvementdegree,,,pending,
