field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Single_Arm_Kettlebell_Half_Kneeling_Snatch,,pending,
exercise_name,Single Arm Kettlebell Half Kneeling Snatch,,pending,representative random (seed=7)
movement_patterns,HipHinge,,pending,
primary_joint_actions,"HipExtension, ShoulderFlexion, ElbowExtension",,pending,
supporting_joint_actions,"ScapularUpwardRotation, ShoulderExternalRotation",,pending,
training_modalities,Power,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,Ballistics,,pending,
laterality,Unilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,GluteusMaximus,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,AnteriorDeltoid,,pending,
muscle_involvement_02_involvementdegree,Synergist,,pending,
muscle_involvement_03_muscle,BicepsFemoris,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,LateralDeltoid,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,Semimembranosus,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,Semitendinosus,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,TricepsLateralHead,,pending,
muscle_involvement_07_involvementdegree,Synergist,,pending,
muscle_involvement_08_muscle,TricepsLongHead,,pending,
muscle_involvement_08_involvementdegree,Synergist,,pending,
muscle_involvement_09_muscle,TricepsMedialHead,,pending,
muscle_involvement_09_involvementdegree,Synergist,,pending,
muscle_involvement_10_muscle,UpperTrapezius,,pending,
muscle_involvement_10_involvementdegree,Synergist,,pending,
muscle_involvement_11_muscle,Core,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,ErectorSpinae,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,GluteusMedius,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,Iliopsoas,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,RotatorCuff,,pending,
muscle_involvement_15_involvementdegree,Stabilizer,,pending,
muscle_involvement_16_muscle,WristFlexors,,pending,
muscle_involvement_16_involvementdegree,Stabilizer,,pending,
muscle_involvement_17_muscle,,,pending,
muscle_involvement_17_involvementdegree,,,pending,
muscle_involvement_18_muscle,,,pending,
muscle_involvement_18_involvementdegree,,,pending,
muscle_involvement_19_muscle,,,pending,
muscle_involvement_19_involvementdegree,,,pending,
muscle_involvement_20_muscle,,,pending,
muscle_involvement_20_involvementdegree,,,pending,
