field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Single_Arm_Ring_Plank,,pending,
exercise_name,Single Arm Ring Plank,,pending,representative random (seed=7)
movement_patterns,"AntiRotation, AntiExtension",,pending,
primary_joint_actions,SpinalStability,,pending,
supporting_joint_actions,"ShoulderExternalRotation, ScapularProtraction",,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,Calisthenics,,pending,
laterality,Unilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,Obliques,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,RectusAbdominis,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,TransverseAbdominis,,pending,
muscle_involvement_03_involvementdegree,PrimeMover,,pending,
muscle_involvement_04_muscle,ErectorSpinae,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,AnteriorDeltoid,,pending,
muscle_involvement_05_involvementdegree,Stabilizer,,pending,
muscle_involvement_06_muscle,GluteusMaximus,,pending,
muscle_involvement_06_involvementdegree,Stabilizer,,pending,
muscle_involvement_07_muscle,GluteusMedius,,pending,
muscle_involvement_07_involvementdegree,Stabilizer,,pending,
muscle_involvement_08_muscle,LatissimusDorsi,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,PectoralisMajor,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,QuadratusLumborum,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,RotatorCuff,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,SerratusAnterior,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,TricepsLateralHead,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,TricepsLongHead,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,TricepsMedialHead,,pending,
muscle_involvement_15_involvementdegree,Stabilizer,,pending,
muscle_involvement_16_muscle,,,pending,
muscle_involvement_16_involvementdegree,,,pending,
muscle_involvement_17_muscle,,,pending,
muscle_involvement_17_involvementdegree,,,pending,
muscle_involvement_18_muscle,,,pending,
muscle_involvement_18_involvementdegree,,,pending,
muscle_involvement_19_muscle,,,pending,
muscle_involvement_19_involvementdegree,,,pending,
