field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,fed_Single_Leg_Butt_Kick,,pending,
exercise_name,Single Leg Butt Kick,,pending,representative random (seed=7)
movement_patterns,Locomotion,,pending,
primary_joint_actions,"KneeExtension, HipExtension, Plantarflexion",,pending,
supporting_joint_actions,"KneeFlexion, HipFlexion",,pending,
training_modalities,Plyometrics,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,,,pending,
laterality,Unilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,RectusFemoris,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,VastusIntermedius,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,VastusLateralis,,pending,
muscle_involvement_03_involvementdegree,PrimeMover,,pending,
muscle_involvement_04_muscle,VastusMedialis,,pending,
muscle_involvement_04_involvementdegree,PrimeMover,,pending,
muscle_involvement_05_muscle,BicepsFemoris,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,Gastrocnemius,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,GluteusMaximus,,pending,
muscle_involvement_07_involvementdegree,Synergist,,pending,
muscle_involvement_08_muscle,Semimembranosus,,pending,
muscle_involvement_08_involvementdegree,Synergist,,pending,
muscle_involvement_09_muscle,Semitendinosus,,pending,
muscle_involvement_09_involvementdegree,Synergist,,pending,
muscle_involvement_10_muscle,Soleus,,pending,
muscle_involvement_10_involvementdegree,Synergist,,pending,
muscle_involvement_11_muscle,Core,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,GluteusMedius,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,TibialisAnterior,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,,,pending,
muscle_involvement_14_involvementdegree,,,pending,
muscle_involvement_15_muscle,,,pending,
muscle_involvement_15_involvementdegree,,,pending,
muscle_involvement_16_muscle,,,pending,
muscle_involvement_16_involvementdegree,,,pending,
muscle_involvement_17_muscle,,,pending,
muscle_involvement_17_involvementdegree,,,pending,
