field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Slider_Kneeling_Alternating_Reach_Push_Up,,pending,
exercise_name,Slider Kneeling Alternating Reach Push Up,,pending,representative random (seed=7)
movement_patterns,HorizontalPush,,pending,
primary_joint_actions,"ShoulderHorizontalAdduction, ElbowExtension",,pending,
supporting_joint_actions,"ScapularProtraction, ShoulderFlexion, SpinalStability",,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,Calisthenics,,pending,
laterality,Unilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,ClavicularHead,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,SternalHead,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,AnteriorDeltoid,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,SerratusAnterior,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,TricepsLateralHead,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,TricepsLongHead,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,TricepsMedialHead,,pending,
muscle_involvement_07_involvementdegree,Synergist,,pending,
muscle_involvement_08_muscle,Core,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,ErectorSpinae,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,GluteusMaximus,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,GluteusMedius,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,Obliques,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,RectusAbdominis,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,RotatorCuff,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,TransverseAbdominis,,pending,
muscle_involvement_15_involvementdegree,Stabilizer,,pending,
muscle_involvement_16_muscle,,,pending,
muscle_involvement_16_involvementdegree,,,pending,
muscle_involvement_17_muscle,,,pending,
muscle_involvement_17_involvementdegree,,,pending,
muscle_involvement_18_muscle,,,pending,
muscle_involvement_18_involvementdegree,,,pending,
muscle_involvement_19_muscle,,,pending,
muscle_involvement_19_involvementdegree,,,pending,
