field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,slider_single_arm_suitcase_ipsilateral_reverse_lunge,,pending,
exercise_name,Slider Single Arm Dumbbell Suitcase Ipsilateral Reverse Lunge,,pending,"coverage: laterality:Ipsilateral, multi-source"
movement_patterns,"KneeDominant, AntiLateralFlexion",,pending,
primary_joint_actions,"KneeExtension, HipExtension",,pending,
supporting_joint_actions,"SpinalStability, HipFlexion, Dorsiflexion",,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,Bodybuilding,,pending,
laterality,Ipsilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,RectusFemoris,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,VastusIntermedius,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,VastusLateralis,,pending,
muscle_involvement_03_involvementdegree,PrimeMover,,pending,
muscle_involvement_04_muscle,VastusMedialis,,pending,
muscle_involvement_04_involvementdegree,PrimeMover,,pending,
muscle_involvement_05_muscle,GluteusMaximus,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,Obliques,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,QuadratusLumborum,,pending,
muscle_involvement_07_involvementdegree,Synergist,,pending,
muscle_involvement_08_muscle,AdductorMagnus,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,BicepsFemoris,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,Core,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,ErectorSpinae,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,Gastrocnemius,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,GluteusMedius,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,Semimembranosus,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,Semitendinosus,,pending,
muscle_involvement_15_involvementdegree,Stabilizer,,pending,
muscle_involvement_16_muscle,Soleus,,pending,
muscle_involvement_16_involvementdegree,Stabilizer,,pending,
muscle_involvement_17_muscle,WristFlexors,,pending,
muscle_involvement_17_involvementdegree,Stabilizer,,pending,
muscle_involvement_18_muscle,,,pending,
muscle_involvement_18_involvementdegree,,,pending,
muscle_involvement_19_muscle,,,pending,
muscle_involvement_19_involvementdegree,,,pending,
muscle_involvement_20_muscle,,,pending,
muscle_involvement_20_involvementdegree,,,pending,
muscle_involvement_21_muscle,,,pending,
muscle_involvement_21_involvementdegree,,,pending,
