field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Slider_Standing_Rollout,,pending,
exercise_name,Slider Standing Rollout,,pending,representative random (seed=7)
movement_patterns,AntiExtension,,pending,
primary_joint_actions,SpinalStability,,pending,
supporting_joint_actions,"ShoulderFlexion, ScapularProtraction",,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,,,pending,
laterality,Bilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,RectusAbdominis,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,TransverseAbdominis,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,LatissimusDorsi,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,Obliques,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,TeresMajor,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,AnteriorDeltoid,,pending,
muscle_involvement_06_involvementdegree,Stabilizer,,pending,
muscle_involvement_07_muscle,ErectorSpinae,,pending,
muscle_involvement_07_involvementdegree,Stabilizer,,pending,
muscle_involvement_08_muscle,GluteusMaximus,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,SerratusAnterior,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,TricepsLateralHead,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,TricepsLongHead,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,TricepsMedialHead,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,,,pending,
muscle_involvement_13_involvementdegree,,,pending,
muscle_involvement_14_muscle,,,pending,
muscle_involvement_14_involvementdegree,,,pending,
muscle_involvement_15_muscle,,,pending,
muscle_involvement_15_involvementdegree,,,pending,
muscle_involvement_16_muscle,,,pending,
muscle_involvement_16_involvementdegree,,,pending,
