field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Stability_Ball_Double_Dumbbell_Seated_Scaption,,pending,
exercise_name,Stability Ball Double Dumbbell Seated Scaption,,pending,representative random (seed=7)
movement_patterns,,,pending,
primary_joint_actions,"ShoulderFlexion, ShoulderAbduction",,pending,
supporting_joint_actions,ScapularUpwardRotation,,pending,
training_modalities,,,pending,
plane_of_motion,"SagittalPlane, FrontalPlane",,pending,
exercise_style,Balance,,pending,
laterality,Bilateral,,pending,
is_compound,FALSE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,AnteriorDeltoid,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,LateralDeltoid,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,LowerTrapezius,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,RotatorCuff,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,UpperTrapezius,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,Core,,pending,
muscle_involvement_06_involvementdegree,Stabilizer,,pending,
muscle_involvement_07_muscle,ErectorSpinae,,pending,
muscle_involvement_07_involvementdegree,Stabilizer,,pending,
muscle_involvement_08_muscle,GluteusMedius,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,SerratusAnterior,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,,,pending,
muscle_involvement_10_involvementdegree,,,pending,
muscle_involvement_11_muscle,,,pending,
muscle_involvement_11_involvementdegree,,,pending,
muscle_involvement_12_muscle,,,pending,
muscle_involvement_12_involvementdegree,,,pending,
muscle_involvement_13_muscle,,,pending,
muscle_involvement_13_involvementdegree,,,pending,
