field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Suspension_Feet_Elevated_Mountain_Climber,,pending,
exercise_name,Suspension Feet Elevated Mountain Climber,,pending,representative random (seed=7)
movement_patterns,AntiExtension,,pending,
primary_joint_actions,SpinalStability,,pending,
supporting_joint_actions,"HipFlexion, KneeFlexion",,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,,,pending,
laterality,Unilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,RectusAbdominis,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,TransverseAbdominis,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,Iliopsoas,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,Obliques,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,RectusFemoris,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,AnteriorDeltoid,,pending,
muscle_involvement_06_involvementdegree,Stabilizer,,pending,
muscle_involvement_07_muscle,Core,,pending,
muscle_involvement_07_involvementdegree,Stabilizer,,pending,
muscle_involvement_08_muscle,ErectorSpinae,,pending,
muscle_involvement_08_involvementdegree,Stabilizer,,pending,
muscle_involvement_09_muscle,GluteusMaximus,,pending,
muscle_involvement_09_involvementdegree,Stabilizer,,pending,
muscle_involvement_10_muscle,RotatorCuff,,pending,
muscle_involvement_10_involvementdegree,Stabilizer,,pending,
muscle_involvement_11_muscle,SerratusAnterior,,pending,
muscle_involvement_11_involvementdegree,Stabilizer,,pending,
muscle_involvement_12_muscle,TricepsLateralHead,,pending,
muscle_involvement_12_involvementdegree,Stabilizer,,pending,
muscle_involvement_13_muscle,TricepsLongHead,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,TricepsMedialHead,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,,,pending,
muscle_involvement_15_involvementdegree,,,pending,
muscle_involvement_16_muscle,,,pending,
muscle_involvement_16_involvementdegree,,,pending,
muscle_involvement_17_muscle,,,pending,
muscle_involvement_17_involvementdegree,,,pending,
muscle_involvement_18_muscle,,,pending,
muscle_involvement_18_involvementdegree,,,pending,
