field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,fed_Thigh_Abductor,,pending,
exercise_name,Thigh Abductor,,pending,representative random (seed=7)
movement_patterns,,,pending,
primary_joint_actions,HipAbduction,,pending,
supporting_joint_actions,,,pending,
training_modalities,,,pending,
plane_of_motion,FrontalPlane,,pending,
exercise_style,Bodybuilding,,pending,
laterality,Bilateral,,pending,
is_compound,FALSE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,GluteusMedius,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,GluteusMinimus,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,GluteusMaximus,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,TensorFasciaeLatae,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,,,pending,
muscle_involvement_05_involvementdegree,,,pending,
muscle_involvement_06_muscle,,,pending,
muscle_involvement_06_involvementdegree,,,pending,
muscle_involvement_07_muscle,,,pending,
muscle_involvement_07_involvementdegree,,,pending,
muscle_involvement_08_muscle,,,pending,
muscle_involvement_08_involvementdegree,,,pending,
