field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,ffdb_Wall_Ball_Toss,,pending,
exercise_name,Wall Ball Toss,,pending,representative random (seed=7)
movement_patterns,"KneeDominant, VerticalPush",,pending,
primary_joint_actions,"KneeExtension, HipExtension, ShoulderFlexion, ElbowExtension",,pending,
supporting_joint_actions,"ScapularUpwardRotation, Plantarflexion",,pending,
training_modalities,Plyometrics,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,,,pending,
laterality,Bilateral,,pending,
is_compound,TRUE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,RectusFemoris,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,VastusIntermedius,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,VastusLateralis,,pending,
muscle_involvement_03_involvementdegree,PrimeMover,,pending,
muscle_involvement_04_muscle,VastusMedialis,,pending,
muscle_involvement_04_involvementdegree,PrimeMover,,pending,
muscle_involvement_05_muscle,BicepsFemoris,,pending,
muscle_involvement_05_involvementdegree,Synergist,,pending,
muscle_involvement_06_muscle,GluteusMaximus,,pending,
muscle_involvement_06_involvementdegree,Synergist,,pending,
muscle_involvement_07_muscle,LateralDeltoid,,pending,
muscle_involvement_07_involvementdegree,Synergist,,pending,
muscle_involvement_08_muscle,Semimembranosus,,pending,
muscle_involvement_08_involvementdegree,Synergist,,pending,
muscle_involvement_09_muscle,Semitendinosus,,pending,
muscle_involvement_09_involvementdegree,Synergist,,pending,
muscle_involvement_10_muscle,TricepsLateralHead,,pending,
muscle_involvement_10_involvementdegree,Synergist,,pending,
muscle_involvement_11_muscle,TricepsLongHead,,pending,
muscle_involvement_11_involvementdegree,Synergist,,pending,
muscle_involvement_12_muscle,TricepsMedialHead,,pending,
muscle_involvement_12_involvementdegree,Synergist,,pending,
muscle_involvement_13_muscle,AnteriorDeltoid,,pending,
muscle_involvement_13_involvementdegree,Stabilizer,,pending,
muscle_involvement_14_muscle,Core,,pending,
muscle_involvement_14_involvementdegree,Stabilizer,,pending,
muscle_involvement_15_muscle,ErectorSpinae,,pending,
muscle_involvement_15_involvementdegree,Stabilizer,,pending,
muscle_involvement_16_muscle,GluteusMedius,,pending,
muscle_involvement_16_involvementdegree,Stabilizer,,pending,
muscle_involvement_17_muscle,UpperTrapezius,,pending,
muscle_involvement_17_involvementdegree,Stabilizer,,pending,
muscle_involvement_18_muscle,WristFlexors,,pending,
muscle_involvement_18_involvementdegree,Stabilizer,,pending,
muscle_involvement_19_muscle,,,pending,
muscle_involvement_19_involvementdegree,,,pending,
muscle_involvement_20_muscle,,,pending,
muscle_involvement_20_involvementdegree,,,pending,
muscle_involvement_21_muscle,,,pending,
muscle_involvement_21_involvementdegree,,,pending,
muscle_involvement_22_muscle,,,pending,
muscle_involvement_22_involvementdegree,,,pending,
