field,predicted_value,corrected_value,status (pending/accepted/modified/flagged),comments
entity_id,fed_Wide_Grip_Standing_Barbell_Curl,,pending,
exercise_name,Wide-Grip Standing Barbell Curl,,pending,representative random (seed=7)
movement_patterns,,,pending,
primary_joint_actions,"ElbowFlexion, ForearmSupination",,pending,
supporting_joint_actions,,,pending,
training_modalities,,,pending,
plane_of_motion,SagittalPlane,,pending,
exercise_style,Bodybuilding,,pending,
laterality,Bilateral,,pending,
is_compound,FALSE,,pending,
is_combination,FALSE,,pending,
muscle_involvement_01_muscle,BicepsLongHead,,pending,
muscle_involvement_01_involvementdegree,PrimeMover,,pending,
muscle_involvement_02_muscle,BicepsShortHead,,pending,
muscle_involvement_02_involvementdegree,PrimeMover,,pending,
muscle_involvement_03_muscle,Brachialis,,pending,
muscle_involvement_03_involvementdegree,Synergist,,pending,
muscle_involvement_04_muscle,Brachioradialis,,pending,
muscle_involvement_04_involvementdegree,Synergist,,pending,
muscle_involvement_05_muscle,WristFlexors,,pending,
muscle_involvement_05_involvementdegree,Stabilizer,,pending,
muscle_involvement_06_muscle,,,pending,
muscle_involvement_06_involvementdegree,,,pending,
muscle_involvement_07_muscle,,,pending,
muscle_involvement_07_involvementdegree,,,pending,
muscle_involvement_08_muscle,,,pending,
muscle_involvement_08_involvementdegree,,,pending,
muscle_involvement_09_muscle,,,pending,
muscle_involvement_09_involvementdegree,,,pending,
